YearofManufacture,Brand,CarName,KilometersDriven,FuelType,Transmission,Price,Location,PricePerKm
2015,Maruti, Ertiga ZDI,74875,Diesel,Manual,709000,"Goregaon, Mumbai",9.469115191986644
2015,Maruti, Ertiga ZXI,48033,Petrol,Manual,647000,"Mulund West, Mumbai",13.469906106218641
2015,Maruti, Celerio VXI AMT,73092,Petrol,Automatic,327000,"Goregaon, Mumbai",4.4738138236742735
2015,Maruti, Wagon R 1.0 VXI,28048,Petrol,Manual,309000,"Goregaon, Mumbai",11.016828294352539
2015,Maruti, Wagon R 1.0 LXI CNG,65098,CNG,Manual,339000,Seawoo,5.207533257550155
2016,Maruti, Baleno DELTA PETROL 1.2,43273,Petrol,Manual,505000,Seawoo,11.670094516211032
2016,Maruti, Ertiga VXI,61711,Petrol,Manual,653000,"Mulund West, Mumbai",10.581581889776539
2016,Maruti, Alto 800 LXI,45935,Petrol,Manual,250999,"Mulund West, Mumbai",5.464221182105149
2016,Maruti, Swift Dzire VXI,49757,Petrol,Manual,438999,"Mulund West, Mumbai",8.822859095202684
2016,Maruti, Ertiga VXI,69763,CNG,Manual,704000,"Mulund West, Mumbai",10.091309146682338
2016,Maruti, Swift VXI O,35970,Petrol,Manual,433000,Seawoo,12.037809285515708
2016,Maruti, Celerio ZXI,33655,Petrol,Manual,367000,"Goregaon, Mumbai",10.90476897934928
2016,Maruti, Baleno DELTA CVT PETROL 1.2,58631,Petrol,Automatic,484999,"Goregaon, Mumbai",8.272057444014258
2016,Maruti, Baleno DELTA DIESEL 1.3,62767,Diesel,Manual,557000,"Mulund West, Mumbai",8.87408988799847
2016,Maruti, Celerio ZXI AMT,76727,Petrol,Automatic,381000,"Goregaon, Mumbai",4.965657460867752
2017,Maruti, Baleno DELTA PETROL 1.2,29835,Petrol,Manual,527000,"Goregaon, Mumbai",17.663817663817664
2017,Maruti, Baleno ALPHA PETROL 1.2,36118,Petrol,Manual,558000,"Goregaon, Mumbai",15.449360429702642
2017,Maruti, Celerio ZXI,27882,Petrol,Manual,388000,"Goregaon, Mumbai",13.915787963560721
2017,Maruti, Ciaz ZDI+ SHVS,75650,Diesel,Manual,604000,"Mulund West, Mumbai",7.984137475214805
2017,Maruti, Baleno ZETA PETROL 1.2,49544,Petrol,Manual,454000,"Mulund West, Mumbai",9.163571774584208
2017,Maruti, Celerio VXI,25368,Petrol,Manual,387000,"Goregaon, Mumbai",15.255439924314096
2017,Maruti, Baleno ALPHA DIESEL 1.3,73649,Diesel,Manual,556000,Seawoo,7.5493217830520445
2017,Maruti, Swift VXI,57535,Petrol,Manual,474000,"Goregaon, Mumbai",8.238463543929782
2017,Maruti, IGNIS DELTA 1.2,30176,Petrol,Manual,438000,Seawoo,14.514846235418876
2017,Maruti, IGNIS ZETA 1.2 AMT DUAL TONE,38048,Petrol,Automatic,475000,"Goregaon, Mumbai",12.484230445752733
2017,Maruti, Celerio VXI CNG,74159,CNG,Manual,397000,"Mulund West, Mumbai",5.353362370042746
2017,Maruti, Wagon R 1.0 VXI,22280,Petrol,Manual,384000,"Mulund West, Mumbai",17.235188509874327
2017,Maruti, Wagon R 1.0 VXI OPT,43944,Petrol,Manual,361000,"Mulund West, Mumbai",8.215000910249408
2017,Maruti, Wagon R 1.0 LXI CNG,56359,CNG,Manual,369000,"Mulund West, Mumbai",6.547312762824038
2017,Maruti, Baleno DELTA PETROL 1.2,62669,Petrol,Manual,509999,"Goregaon, Mumbai",8.13797890504077
2017,Maruti, Wagon R 1.0 LXI CNG,57012,CNG,Manual,369000,Seawoo,6.472321616501789
2017,Maruti, Baleno ZETA CVT PETROL 1.2,77650,Petrol,Automatic,521000,"Goregaon, Mumbai",6.7095943335479715
2017,Maruti, Celerio ZXI AMT,42234,Petrol,Automatic,408000,"Goregaon, Mumbai",9.660463133967893
2018,Maruti, Baleno DELTA CVT PETROL 1.2,33974,Petrol,Automatic,581000,"Goregaon, Mumbai",17.101312768587743
2018,Maruti, IGNIS ZETA 1.2 AMT,76787,Petrol,Automatic,454000,"Goregaon, Mumbai",5.912459140219047
2018,Maruti, Baleno ZETA CVT PETROL 1.2,43313,Petrol,Automatic,631000,"Mulund West, Mumbai",14.56837439106042
2018,Maruti, Dzire VXI AMT,51852,Petrol,Automatic,550000,"Goregaon, Mumbai",10.607112551106997
2018,Maruti, Baleno ALPHA CVT PETROL 1.2,33155,Petrol,Automatic,607000,"Mulund West, Mumbai",18.30794751922787
2018,Maruti, Baleno ALPHA CVT PETROL 1.2,44613,Petrol,Automatic,580000,"Goregaon, Mumbai",13.000694864725528
2019,Maruti, Swift VXI,13167,Petrol,Manual,567000,"Goregaon, Mumbai",43.0622009569378
2019,Maruti, S PRESSO VXI+,51291,Petrol,Manual,390000,"Goregaon, Mumbai",7.6036731590337485
2019,Maruti, Baleno ZETA CVT PETROL 1.2,16282,Petrol,Automatic,641000,"Goregaon, Mumbai",39.3686279326864
2019,Maruti, Baleno ZETA CVT PETROL 1.2,24684,Petrol,Automatic,708000,"Goregaon, Mumbai",28.68254739912494
2019,Maruti, IGNIS ALPHA 1.2,22343,Petrol,Manual,529000,"Goregaon, Mumbai",23.676319205120173
2019,Maruti, Ciaz DELTA AT 1.5 SHVS PETROL,54408,Petrol,Automatic,643000,"Mulund West, Mumbai",11.818114983090721
2019,Maruti, New Wagon-R VXI 1.2,37678,Petrol,Manual,467000,"Mulund West, Mumbai",12.394500769679919
